filename,record_id,category,variant,condition
data\images\information_desk\information_desk_t1_v1.png,information_desk_t1,information_desk,reference,clean
data\images\information_desk\information_desk_t1_v2_angle.png,information_desk_t1,information_desk,query,angle
data\images\information_desk\information_desk_t1_v3_dark.png,information_desk_t1,information_desk,query,dark
data\images\information_desk\information_desk_t1_v4_blur.png,information_desk_t1,information_desk,query,blur
data\images\information_desk\information_desk_t2_v1.png,information_desk_t2,information_desk,reference,clean
data\images\information_desk\information_desk_t2_v2_angle.png,information_desk_t2,information_desk,query,angle
data\images\information_desk\information_desk_t2_v3_dark.png,information_desk_t2,information_desk,query,dark
data\images\information_desk\information_desk_t2_v4_blur.png,information_desk_t2,information_desk,query,blur
data\images\lounge\lounge_t2_v1.png,lounge_t2,lounge,reference,clean
data\images\lounge\lounge_t2_v2_angle.png,lounge_t2,lounge,query,angle
data\images\lounge\lounge_t2_v3_dark.png,lounge_t2,lounge,query,dark
data\images\lounge\lounge_t2_v4_blur.png,lounge_t2,lounge,query,blur
data\images\restaurant\restaurant_t2_v1.png,restaurant_t2,restaurant,reference,clean
data\images\restaurant\restaurant_t2_v2_angle.png,restaurant_t2,restaurant,query,angle
data\images\restaurant\restaurant_t2_v3_dark.png,restaurant_t2,restaurant,query,dark
data\images\restaurant\restaurant_t2_v4_blur.png,restaurant_t2,restaurant,query,blur
data\images\restroom\restroom_b_v1.png,restroom_b,restroom,reference,clean
data\images\restroom\restroom_b_v2_angle.png,restroom_b,restroom,query,angle
data\images\restroom\restroom_b_v3_dark.png,restroom_b,restroom,query,dark
data\images\restroom\restroom_b_v4_blur.png,restroom_b,restroom,query,blur
data\images\prayer_room\prayer_room_t1_v1.png,prayer_room_t1,prayer_room,reference,clean
data\images\prayer_room\prayer_room_t1_v2_angle.png,prayer_room_t1,prayer_room,query,angle
data\images\prayer_room\prayer_room_t1_v3_dark.png,prayer_room_t1,prayer_room,query,dark
data\images\prayer_room\prayer_room_t1_v4_blur.png,prayer_room_t1,prayer_room,query,blur
data\images\lost_and_found\lost_and_found_v1.png,lost_and_found,lost_and_found,reference,clean
data\images\lost_and_found\lost_and_found_v2_angle.png,lost_and_found,lost_and_found,query,angle
data\images\lost_and_found\lost_and_found_v3_dark.png,lost_and_found,lost_and_found,query,dark
data\images\lost_and_found\lost_and_found_v4_blur.png,lost_and_found,lost_and_found,query,blur
data\images\customs\customs_t1_v1.png,customs_t1,customs,reference,clean
data\images\customs\customs_t1_v2_angle.png,customs_t1,customs,query,angle
data\images\customs\customs_t1_v3_dark.png,customs_t1,customs,query,dark
data\images\customs\customs_t1_v4_blur.png,customs_t1,customs,query,blur
data\images\currency_exchange\currency_exchange_t1_v1.png,currency_exchange_t1,currency_exchange,reference,clean
data\images\currency_exchange\currency_exchange_t1_v2_angle.png,currency_exchange_t1,currency_exchange,query,angle
data\images\currency_exchange\currency_exchange_t1_v3_dark.png,currency_exchange_t1,currency_exchange,query,dark
data\images\currency_exchange\currency_exchange_t1_v4_blur.png,currency_exchange_t1,currency_exchange,query,blur
data\images\special_assistance\special_assistance_t1_v1.png,special_assistance_t1,special_assistance,reference,clean
data\images\special_assistance\special_assistance_t1_v2_angle.png,special_assistance_t1,special_assistance,query,angle
data\images\special_assistance\special_assistance_t1_v3_dark.png,special_assistance_t1,special_assistance,query,dark
data\images\special_assistance\special_assistance_t1_v4_blur.png,special_assistance_t1,special_assistance,query,blur
data\images\transport\train_station_v1.png,train_station,transport,reference,clean
data\images\transport\train_station_v2_angle.png,train_station,transport,query,angle
data\images\transport\train_station_v3_dark.png,train_station,transport,query,dark
data\images\transport\train_station_v4_blur.png,train_station,transport,query,blur
data\images\transport\taxi_pickup_v1.png,taxi_pickup,transport,reference,clean
data\images\transport\taxi_pickup_v2_angle.png,taxi_pickup,transport,query,angle
data\images\transport\taxi_pickup_v3_dark.png,taxi_pickup,transport,query,dark
data\images\transport\taxi_pickup_v4_blur.png,taxi_pickup,transport,query,blur
