filename,true_category,qwen_pred,qwen_correct,clip_pred_category,clip_top1_correct,clip_top3_correct,clip_top1_score
data/images/information_desk/information_desk_t1_v1.png,information_desk,information_desk,True,gate,False,True,0.2561365067958832
data/images/information_desk/information_desk_t1_v2_angle.png,information_desk,information_desk,True,gate,False,True,0.25566786527633667
data/images/information_desk/information_desk_t1_v3_dark.png,information_desk,information_desk,True,gate,False,False,0.23295152187347412
data/images/information_desk/information_desk_t1_v4_blur.png,information_desk,information_desk,True,gate,False,True,0.2453814148902893
data/images/information_desk/information_desk_t2_v1.png,information_desk,information_desk,True,gate,False,True,0.2635836899280548
data/images/information_desk/information_desk_t2_v2_angle.png,information_desk,information_desk,True,gate,False,False,0.2762121558189392
data/images/information_desk/information_desk_t2_v3_dark.png,information_desk,information_desk,True,gate,False,False,0.2384842187166214
data/images/information_desk/information_desk_t2_v4_blur.png,information_desk,information_desk,True,gate,False,False,0.242948517203331
data/images/lounge/lounge_t2_v1.png,lounge,lounge,True,lounge,True,True,0.27301663160324097
data/images/lounge/lounge_t2_v2_angle.png,lounge,lounge,True,lounge,True,True,0.29314136505126953
data/images/lounge/lounge_t2_v3_dark.png,lounge,lounge,True,lounge,True,True,0.26293668150901794
data/images/lounge/lounge_t2_v4_blur.png,lounge,lounge,True,lounge,True,True,0.29089292883872986
data/images/restaurant/restaurant_t2_v1.png,restaurant,restaurant,True,restaurant,True,True,0.25053727626800537
data/images/restaurant/restaurant_t2_v2_angle.png,restaurant,restaurant,True,restaurant,True,True,0.25344640016555786
data/images/restaurant/restaurant_t2_v3_dark.png,restaurant,restaurant,True,restaurant,True,True,0.23721987009048462
data/images/restaurant/restaurant_t2_v4_blur.png,restaurant,restaurant,True,restaurant,True,True,0.24930733442306519
data/images/restroom/restroom_b_v1.png,restroom,restroom,True,prayer_room,False,True,0.2587831914424896
data/images/restroom/restroom_b_v2_angle.png,restroom,restroom,True,prayer_room,False,True,0.26913967728614807
data/images/restroom/restroom_b_v3_dark.png,restroom,restroom,True,prayer_room,False,True,0.26170724630355835
data/images/restroom/restroom_b_v4_blur.png,restroom,restroom,True,prayer_room,False,True,0.26945510506629944
data/images/prayer_room/prayer_room_t1_v1.png,prayer_room,prayer_room,True,prayer_room,True,True,0.37776151299476624
data/images/prayer_room/prayer_room_t1_v2_angle.png,prayer_room,prayer_room,True,prayer_room,True,True,0.3748566806316376
data/images/prayer_room/prayer_room_t1_v3_dark.png,prayer_room,prayer_room,True,prayer_room,True,True,0.3662288188934326
data/images/prayer_room/prayer_room_t1_v4_blur.png,prayer_room,prayer_room,True,prayer_room,True,True,0.368686318397522
data/images/lost_and_found/lost_and_found_v1.png,lost_and_found,lost_and_found,True,lost_and_found,True,True,0.26797348260879517
data/images/lost_and_found/lost_and_found_v2_angle.png,lost_and_found,lost_and_found,True,lost_and_found,True,True,0.28043004870414734
data/images/lost_and_found/lost_and_found_v3_dark.png,lost_and_found,lost_and_found,True,lost_and_found,True,True,0.2646542191505432
data/images/lost_and_found/lost_and_found_v4_blur.png,lost_and_found,lost_and_found,True,lost_and_found,True,True,0.2564239501953125
data/images/customs/customs_t1_v1.png,customs,customs,True,baggage_claim,False,False,0.2510429620742798
data/images/customs/customs_t1_v2_angle.png,customs,customs,True,check_in,False,False,0.24766184389591217
data/images/customs/customs_t1_v3_dark.png,customs,customs,True,gate,False,False,0.21882617473602295
data/images/customs/customs_t1_v4_blur.png,customs,customs,True,gate,False,False,0.25490716099739075
data/images/currency_exchange/currency_exchange_t1_v1.png,currency_exchange,currency_exchange,True,currency_exchange,True,True,0.3309258222579956
data/images/currency_exchange/currency_exchange_t1_v2_angle.png,currency_exchange,currency_exchange,True,currency_exchange,True,True,0.3432199954986572
data/images/currency_exchange/currency_exchange_t1_v3_dark.png,currency_exchange,currency_exchange,True,currency_exchange,True,True,0.343180775642395
data/images/currency_exchange/currency_exchange_t1_v4_blur.png,currency_exchange,currency_exchange,True,currency_exchange,True,True,0.3221304416656494
data/images/special_assistance/special_assistance_t1_v1.png,special_assistance,special_assistance,True,special_assistance,True,True,0.3215318024158478
data/images/special_assistance/special_assistance_t1_v2_angle.png,special_assistance,special_assistance,True,special_assistance,True,True,0.3161945044994354
data/images/special_assistance/special_assistance_t1_v3_dark.png,special_assistance,special_assistance,True,special_assistance,True,True,0.2745343744754791
data/images/special_assistance/special_assistance_t1_v4_blur.png,special_assistance,special_assistance,True,special_assistance,True,True,0.343556672334671
data/images/transport/train_station_v1.png,transport,transport,True,transport,True,True,0.30706000328063965
data/images/transport/train_station_v2_angle.png,transport,transport,True,transport,True,True,0.3105596899986267
data/images/transport/train_station_v3_dark.png,transport,transport,True,transport,True,True,0.32141125202178955
data/images/transport/train_station_v4_blur.png,transport,transport,True,transport,True,True,0.30634239315986633
data/images/transport/taxi_pickup_v1.png,transport,gate,False,transport,True,True,0.3366392254829407
data/images/transport/taxi_pickup_v2_angle.png,transport,gate,False,transport,True,True,0.33259132504463196
data/images/transport/taxi_pickup_v3_dark.png,transport,gate,False,transport,True,True,0.3366009294986725
data/images/transport/taxi_pickup_v4_blur.png,transport,gate,False,transport,True,True,0.34579336643218994
data/images/pharmacy/pharmacy_t1_v1.png,pharmacy,pharmacy,True,gate,False,True,0.3040581941604614
data/images/pharmacy/pharmacy_t1_v2_angle.png,pharmacy,pharmacy,True,gate,False,True,0.2783520817756653
data/images/pharmacy/pharmacy_t1_v3_dark.png,pharmacy,pharmacy,True,pharmacy,True,True,0.2940186858177185
data/images/pharmacy/pharmacy_t1_v4_blur.png,pharmacy,pharmacy,True,gate,False,True,0.2999260127544403
data/images/smoking_area/smoking_area_t1_v1.png,smoking_area,smoking_area,True,smoking_area,True,True,0.273242324590683
data/images/smoking_area/smoking_area_t1_v2_angle.png,smoking_area,smoking_area,True,smoking_area,True,True,0.2747555673122406
data/images/smoking_area/smoking_area_t1_v3_dark.png,smoking_area,smoking_area,True,smoking_area,True,True,0.2311088740825653
data/images/smoking_area/smoking_area_t1_v4_blur.png,smoking_area,smoking_area,True,smoking_area,True,True,0.27247747778892517
